374.39,275.038,57.229,0,151.79,0,13.052,3.3958,0,0
375.64,275.038,35.657,0,112.54,0,5.2912,4.4588,0,0
365.95,275.038,51.5,0,140.41,0,0,7.0099,0,0
355.01,275.038,72.343,0,167.55,0,0,5.6748,0,0
337.2,275.038,73.786,0,185.32,0,4.5644,3.2528,0,0
330.32,275.038,71.964,0,188.59,0,7.2321,3.4183,0,0
301.57,275.038,54.75,0,141.67,0,6.7957,3.3885,0,0
292.2,275.038,66.857,0,174.63,0,5.2132,4.4119,0,0
263.45,275.038,66.146,0,179.54,0,7.7604,3.9475,0,0
235.32,275.038,65.436,0,184.46,0,4.0572,4.8488,0,0
204.07,275.038,33.707,147.164,108.12,192.868,0,6.0812,61.0549,0
79.69,275.038,38.957,122.078,128.64,124.953,0,8.314,122.11,0
13.438,275.038,25.429,186.719,102.7,210.821,8.998,7.2612,183.165,0
10.938,275.038,20.9,208.361,117.4,162.167,13.613,7.0127,244.219,0
10.625,1375.19,3.95,289.354,60.078,351.948,19.091,73.838,305.274,0
10,2750.38,3.8929,289.626,39.552,419.912,28.467,114.1,366.329,0
9.3754,4125.57,3.8357,289.899,19.025,487.868,37.842,154.36,427.384,0
